2023-07-03 12:33:30,114 INFO  [AttributeConverterImpl] 540_29175645_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:30,116 WARN  [S57ToS101Converter] S101 Specification : Cannot find any S101 association for the S57 association object 540_29175704_1 and for the slave features FLODOC CBLSUB CBLSUB CBLSUB CBLSUB OBSTRN OBSTRN OBSTRN OBSTRN 
2023-07-03 12:33:30,116 WARN  [S57ToS101Converter] S101 Specification : Relationship not found from LightAirObstruction-540_29175654_1 to FogSignal-540_29175655_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175307_1 to BeaconIsolatedDanger Object 540_29175308_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175300_1 to BuoyLateral Object 540_29175301_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175554_1 to BuoyLateral Object 540_29175553_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175298_1 to BuoyLateral Object 540_29175299_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175598_1 to BeaconLateral Object 540_29175602_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175656_1 to BeaconLateral Object 540_29175660_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175486_1 to BuoyLateral Object 540_29175485_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175500_1 to BeaconLateral Object 540_29175501_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175499_1 to BeaconLateral Object 540_29175496_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175691_1 to BeaconLateral Object 540_29175692_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175693_1 to BeaconLateral Object 540_29175694_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175484_1 to BeaconSpecialPurposeGeneral Object 540_29175482_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175688_1 to BeaconSpecialPurposeGeneral Object 540_29175690_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175550_1 to BuoyLateral Object 540_29175549_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175548_1 to BuoyLateral Object 540_29175547_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175552_1 to BuoyLateral Object 540_29175551_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature LIGHTS 540_29175600_1 to LightSectored Object 540_29175599_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature LIGHTS 540_29175658_1 to LightSectored Object 540_29175657_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature LIGHTS 540_29175649_1 to LightSectored Object 540_29175650_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature LIGHTS 540_29175595_1 to LightSectored Object 540_29175594_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] Adding feature LIGHTS 540_29175391_1 to LightSectored Object 540_29175392_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175600_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175601_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175658_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175659_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175649_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175648_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175595_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175596_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175391_1
2023-07-03 12:33:30,116 INFO  [FeaturesFinalizer] LIGHTS : removing feature LIGHTS 540_29175390_1
2023-07-03 12:33:30,116 INFO  [AttributeConverterImpl] 1810_117968332_2 : Attribute type CATBRG has been removed from the S101 feature type Bridge
2023-07-03 12:33:30,116 INFO  [AttributeConverterImpl] 1810_117968333_2 : Attribute type VERCCL has been removed from the S101 feature type Bridge
2023-07-03 12:33:30,116 INFO  [AttributeConverterImpl] 1810_117968334_2 : Attribute type CATBRG has been removed from the S101 feature type Bridge
2023-07-03 12:33:30,116 INFO  [AttributeConverterImpl] 1810_117968336_2 : Attribute type CATBRG has been removed from the S101 feature type Bridge
2023-07-03 12:33:30,116 INFO  [AttributeConverterImpl] 1810_117968337_2 : Attribute type CATBRG has been removed from the S101 feature type Bridge
2023-07-03 12:33:30,116 INFO  [AttributeConverterImpl] 1810_117968338_2 : Attribute type CATBRG has been removed from the S101 feature type Bridge
2023-07-03 12:33:30,136 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type CTRPNT
2023-07-03 12:33:30,136 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type CTRPNT
2023-07-03 12:33:30,136 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type C_AGGR
2023-07-03 12:33:30,136 INFO  [S57ToS101] Writing 101AA005X01NW.000 to ./data-references/dataConverted/s164/Conversion-1.1.5/2.1.1 Power Up/S100_ROOT/S-101/DATASET_FILES
2023-07-03 12:33:30,258 INFO  [CheckS101] * Checking dataSet '101AA005X01NW'...
2023-07-03 12:33:30,258 INFO  [CheckS101] ** Checking dataSet '101AA005X01NW' consistency to the dictionary...
2023-07-03 12:33:30,258 INFO  [CheckS101] ** End of dataSet '101AA005X01NW' consistency to the dictionary check
2023-07-03 12:33:30,258 INFO  [CheckS101] ** Checking dataSet '101AA005X01NW' group 1...
2023-07-03 12:33:30,258 INFO  [CheckS101] *** '101AA005X01NW.000' group 1 OK
2023-07-03 12:33:30,258 INFO  [CheckS101] ** End of dataSet '101AA005X01NW' group 1 check
2023-07-03 12:33:30,258 INFO  [CheckS101] * End of dataSet '101AA005X01NW' check
