2023-10-20 06:50:23,626 INFO  [AttributeConverterImpl] 540_29175482_1 : Attribute type BCNSHP has been removed from the S101 feature type BeaconSpecialPurposeGeneral
2023-10-20 06:50:23,626 INFO  [AttributeConverterImpl] 540_29175687_1 : Attribute type BCNSHP has been removed from the S101 feature type BeaconSpecialPurposeGeneral
2023-10-20 06:50:23,626 INFO  [AttributeConverterImpl] 540_29175687_1 : Attribute type COLOUR has been removed from the S101 feature type BeaconSpecialPurposeGeneral
2023-10-20 06:50:23,627 INFO  [AttributeConverterImpl] 540_29175690_1 : Attribute type BCNSHP has been removed from the S101 feature type BeaconSpecialPurposeGeneral
2023-10-20 06:50:23,627 INFO  [AttributeConverterImpl] 540_29175359_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value LightAllAround:lightCharacteristic=
2023-10-20 06:50:23,627 INFO  [AttributeConverterImpl] 540_29175680_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-10-20 06:50:23,629 INFO  [AttributeConverterImpl] 540_29175542_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,629 INFO  [AttributeConverterImpl] [rock (9)] not converted for natureOfSurface of UnderwaterAwashRock 540_29175644_1
2023-10-20 06:50:23,629 INFO  [AttributeConverterImpl] 540_29175644_1 : Attribute type NATSUR has been removed from the S101 feature type UnderwaterAwashRock
2023-10-20 06:50:23,629 INFO  [AttributeConverterImpl] 540_29175644_1 : Attribute type VALSOU has been removed from the S101 feature type UnderwaterAwashRock
2023-10-20 06:50:23,629 INFO  [AttributeConverterImpl] [rock (9)] not converted for natureOfSurface of UnderwaterAwashRock 540_29175645_1
2023-10-20 06:50:23,629 INFO  [AttributeConverterImpl] 540_29175645_1 : Attribute type NATSUR has been removed from the S101 feature type UnderwaterAwashRock
2023-10-20 06:50:23,629 INFO  [AttributeConverterImpl] 540_29175645_1 : Attribute type VALSOU has been removed from the S101 feature type UnderwaterAwashRock
2023-10-20 06:50:23,632 INFO  [S57ToS101Converter]  FLODOC CBLSUB CBLSUB CBLSUB CBLSUB OBSTRN OBSTRN OBSTRN OBSTRN  from the S57 association object 540_29175704_1
2023-10-20 06:50:23,632 INFO  [S57ToS101Converter] LightAirObstruction and FogSignal-540_29175654_1 to 45540_29175655_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175307_1 to BeaconIsolatedDanger Object 540_29175308_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175300_1 to BuoyLateral Object 540_29175301_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175554_1 to BuoyLateral Object 540_29175553_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175298_1 to BuoyLateral Object 540_29175299_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175598_1 to BeaconLateral Object 540_29175602_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175656_1 to BeaconLateral Object 540_29175660_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175486_1 to BuoyLateral Object 540_29175485_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175500_1 to BeaconLateral Object 540_29175501_1
2023-10-20 06:50:23,633 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_29175499_1 to BeaconLateral Object 540_29175496_1
